French,English
partie,part
histoire,history
chercher,search
seulement,only
aide,help
demande,request
mois,month
frère,brother
car,because
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
yeux,eyes
façon,way
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
devant,in front of
minutes,minutes
demandé,request
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
donne,given
loin,far
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
